world_rank,university_name,country,teaching,international,research,citations,income,total_score
154,University of Exeter,United Kingdom,32,79.8,32.7,78,35.8,49.7
155,National Taiwan University,Taiwan,48.8,27.5,57.3,47.7,43.8,49.3
156,RWTH Aachen University,Germany,39,56.8,29.9,75,69.8,49.2
157,Osaka University,Japan,51.3,29.1,48,51.1,73.6,49.1
157,University of Liverpool,United Kingdom,31.3,79.5,33.2,76.2,40,49.1
157,University of Western Australia,Australia,36.3,87.3,38.1,62.2,63.3,49.1
160,University of Copenhagen,Denmark,34,71.8,34.4,73.5,44.4,49
160,ÌÄ‰Û¡cole Normale SupÌÄå©rieure de Lyon,France,38.1,64.4,33.8,73,29.3,49
162,University of Utah,United States of America,38.8,27.5,36.5,75,58.1,48.6
163,University of Freiburg,Germany,38,56.7,28.1,74,81.4,48.3
164,University of Adelaide,Australia,33.8,79.3,40.4,61.1,65.3,48.2
165,Istanbul Technical University,Turkey,30.2,37.3,36.9,79.7,51.1,48.1
165,Karlsruhe Institute of Technology,Germany,40.5,60.1,34.9,62.9,82.7,48.1
165,Pompeu Fabra University,Spain,25.1,63.2,28.3,88.3,35.9,48.1
165,Tohoku University,Japan,49.7,29.7,47.3,49.6,76.8,48.1
169,University of Miami,United States of America,42.7,56.7,27.2,73.1,-,48
170,University of Antwerp,Belgium,34.6,61,33.6,67.7,100,47.9
171,University of Nottingham,United Kingdom,39.9,70.6,35.8,62.7,39.6,47.8
171,UniversitÌÄå© Catholique de Louvain,Belgium,37.9,59.7,34.9,67.7,46.1,47.8
173,Georgetown University,United States of America,51.1,43.3,28.2,62.2,80,47.7
173,University of Victoria,Canada,21.6,70.1,30.6,86.7,31.6,47.7
175,University of Auckland,New Zealand,28.6,87.3,33.4,68.4,74.2,47.5
175,University of Iowa,United States of America,41.9,31.7,33.5,71,49.3,47.5
177,Syracuse University,United States of America,32.4,41.2,24.4,87.1,40.6,47.3
178,Joseph Fourier University,France,38,57.3,29.3,73,31.3,47.1
178,University of Aberdeen,United Kingdom,28,84.1,30.2,74.3,42.1,47.1
180,Paris Diderot University Ì¢‰âÂ‰ÛÏ Paris 7,France,25.6,67.4,19.7,92.2,29.1,47
180,University of Delaware,United States of America,29,40.6,36.3,73.1,99.3,47
182,Arizona State University,United States of America,35.7,29.5,37.5,73.1,32.6,46.9
