world_rank,university_name,country,teaching,international,research,citations,income,total_score
119,"Royal Holloway, University of London",United Kingdom,30.5,92.5,27.7,99,31.9,54.9
120,University of Nottingham,United Kingdom,48.1,70.1,50.8,62.8,38.3,54.8
121,University of Alberta,Canada,50.9,67.6,53.9,56.6,50.6,54.7
122,"University of California, Santa Cruz",United States of America,32.1,32.5,39.6,99.9,-,54.5
122,University of Florida,United States of America,52,31.2,62.9,56,-,54.5
124,Chinese University of Hong Kong,Hong Kong,53.7,62.6,63.1,45.1,44.5,54.4
124,Dartmouth College,United States of America,47.5,31.5,35.9,87,38.6,54.4
124,University of Warwick,United Kingdom,48.9,80.9,50.5,58.8,35.3,54.4
127,Radboud University Nijmegen,Netherlands,35.7,53.4,54.3,73.3,41.7,54
128,Free University of Berlin,Germany,53.1,60.9,56.5,51.5,32.8,53.7
128,Tokyo Institute of Technology,Japan,58,29.6,56.1,52,65.3,53.7
130,University of Copenhagen,Denmark,42.2,73.5,40.4,74.3,39.7,53.6
130,University of Lausanne,Switzerland,33,82.7,44.8,76.2,45.8,53.6
130,University of Southampton,United Kingdom,37.9,77.4,38.9,79.2,41.8,53.6
133,University of Geneva,Switzerland,36.2,95.3,42.5,73.1,32.4,53.5
134,Indiana University,United States of America,48.3,36,44.2,72.5,-,53.2
134,National Taiwan University,Taiwan,56.4,24.6,65.7,45.5,44,53.2
134,University of Utah,United States of America,43.3,25.2,41.3,81,63.3,53.2
137,Hebrew University of Jerusalem,Israel,48.8,50.3,55.8,57,33.6,53.1
137,Tohoku University,Japan,57.7,32,55.6,48.9,80.7,53.1
139,University of Glasgow,United Kingdom,37.3,69.7,40.2,78.1,44.1,53
140,KTH Royal Institute of Technology,Sweden,47.5,86.1,49.7,49.1,100,52.9
140,VU University Amsterdam,Netherlands,40.5,47.1,45.1,74.2,58.5,52.9
142,University of Basel,Switzerland,37.1,89.8,23.2,87.8,64.2,52.8
142,University of Leeds,United Kingdom,41.5,66.6,48.6,65.8,41.3,52.8
144,University of Freiburg,Germany,48.3,54.9,33,72.4,81.1,52.3
145,Lancaster University,United Kingdom,37.7,76.2,40.9,73.2,31.8,52.1
145,Queen Mary University of London,United Kingdom,33.1,87,30,85.4,42.7,52.1
147,Osaka University,Japan,59.5,23.6,55.7,46.4,69.6,52
148,Arizona State University,United States of America,38.4,27.4,45.2,79.9,31.8,51.9
149,Technical University of Denmark,Denmark,37.9,77,30,76.9,98.7,51.7
150,Boston College,United States of America,34.5,52.4,33.2,88.7,-,51.6
151,Karlsruhe Institute of Technology,Germany,46.3,64.5,38.9,63.4,82.9,51.5
151,University of Bern,Switzerland,43,77.3,36,69.7,42,51.5
153,University of Exeter,United Kingdom,33.2,74.1,38.1,78.1,37.1,51.3
154,RWTH Aachen University,Germany,45.3,53.9,32.4,73.8,63.1,51.1
