world_rank,university_name,country,teaching,international,research,citations,income,total_score
163,National Sun Yat-Sen University,Taiwan,46.1,21.3,50.6,58.9,37.5,50.2
164,Georgetown University,United States of America,65.1,24.7,44.7,45,51.7,50.1
165,University of Amsterdam,Netherlands,42.5,38.2,49.2,60.2,38.8,50
165,University of Liverpool,United Kingdom,40.8,59.8,47.8,59.6,40.6,50
167,Aarhus University,Denmark,38.1,33.4,55.6,57.3,61.5,49.9
168,University of Leeds,United Kingdom,46.2,50,48,55.6,38.3,49.8
168,University of WÃŒÃ„Ã¥_rzburg,Germany,48.7,40.3,40.9,60.4,51.7,49.8
170,University of Groningen,Netherlands,41.7,35.5,56.4,54.1,34.2,49.7
171,Sun Yat-sen University,China,46.2,29.3,34.7,70.2,41.2,49.6
172,Goethe University Frankfurt,Germany,39.2,56.1,37.3,69.5,41.6,49.4
173,Bielefeld University,Germany,39.9,54.2,35.7,70.4,51.7,49.3
174,Nanyang Technological University,Singapore,43.6,96.3,51.7,45,40,49
174,University of East Anglia,United Kingdom,42.1,62.8,40.4,62.8,29.7,49
174,University of Nottingham,United Kingdom,46.8,74.8,44.1,52.5,38.4,49
177,University of Copenhagen,Denmark,44.1,45.8,45.7,58.3,26.1,48.8
178,Humboldt University of Berlin,Germany,50.9,46.1,44.5,52,27.8,48.5
178,Monash University,Australia,39.4,87.1,38.8,60.5,40.8,48.5
178,University of Bonn,Germany,46.8,46.8,33.8,65.3,29.4,48.5
181,National Chiao Tung University,Taiwan,53.2,57.9,54.4,32.9,98.7,48.3
182,RWTH Aachen University,Germany,50,63.8,42.5,48.9,56.6,48.2
183,Middle East Technical University,Turkey,39.5,27.2,39.5,66.4,43.9,47.7
184,University of Exeter,United Kingdom,40.4,62.8,42.5,57.9,32.2,47.6
185,University of Twente,Netherlands,49.9,62.4,48.3,42,49.8,47.5
186,University of Konstanz,Germany,42.7,93.6,40.1,51.3,51.7,47.3
187,Karlsruhe Institute of Technology,Germany,45,47.3,35.4,60.7,40,47.2
187,University of Innsbruck,Austria,37.9,99.5,34.8,60.2,35,47.2
189,University of TÃŒÃ„Ã¥_bingen,Germany,45.9,57.8,36.3,57.3,32.3,47
190,Drexel University,United States of America,45,60.6,35.9,58.2,27.4,46.9
190,University of Cincinnati,United States of America,43.6,18.9,40.4,61.5,32.5,46.9
190,Yonsei University,South Korea,43,28,48.7,52.2,40.4,46.9
193,Dalhousie University,Canada,41.6,44.9,50.2,48.8,51.7,46.8
193,KTH Royal Institute of Technology,Sweden,49.1,64.2,56.2,29.2,100,46.8
195,University of Vienna,Austria,47.6,63.2,45.7,45.6,27,46.7
196,Kent State University,United States of America,33.5,15.9,33.3,76.8,26.3,46.5
197,University of Illinois at Chicago,United States of America,57.8,51.8,46.8,34.7,51.7,46.4
197,Zhejiang University,China,54.6,29.6,41.3,44.3,70.3,46.4
199,Simon Fraser University,Canada,32.9,51.9,44.2,60.2,37.9,46.2
199,Swedish University of Agricultural Sciences,Sweden,43.3,54.2,49.5,41.7,99.9,46.2
